City1,City2,Distance(km)
Belgrade,Vienna,489.5136056841321
Belgrade,Vilnius,1150.1564845875168
Belgrade,Yerevan,2030.2566848558577
Belgrade,Warsaw,825.1950360109382
Belgrade,Zagreb,367.00236121870313
Belgrade,Nicosia,1532.4221389826102
Berlin,Bratislava,552.3981184028162
Berlin,Brussels,650.6479664363682
Berlin,Bucharest,1294.9865713838296
Berlin,Budapest,688.0332039591278
Berlin,Copenhagen,355.1504582653338
Berlin,Dublin,1316.992511289121
Berlin,Edinburgh,1140.5507389880995
Berlin,Florence,985.8601938337147
Berlin,Geneva,876.4114427750304
Berlin,Glasgow,1203.4839373424234
Berlin,Hamburg,255.25016602610077
Berlin,Helsinki,1105.153459030438
Berlin,Istanbul,1737.8688729773523
Berlin,Krakow,530.1226473749732
Berlin,Lisbon,2312.5581501918205
Berlin,Ljubljana,723.0612871827476
Berlin,London,931.5694204688525
Berlin,Luxembourg City,601.9602516830976
Berlin,Madrid,1869.1458143733703
Berlin,Milan,842.3228704184673
Berlin,Minsk,953.3055935539104
Berlin,Monaco,1071.7123951936662
Berlin,Moscow,1608.8313354358454
Berlin,Munich,504.4153314003779
Berlin,Naples,1299.0886485203876
Berlin,Oslo,838.1921131374871
Berlin,Paris,877.4633259175432
Berlin,Podgorica,1203.098911993486
Berlin,Prague,281.13299584651537
Berlin,Riga,843.7686657772265
Berlin,Rome,1182.5461961338706
Berlin,Sarajevo,1031.793830665664
Berlin,Skopje,1315.3822211020754
Berlin,Sofia,1318.5530989513736
Berlin,Stockholm,810.508287374598
Berlin,Tallinn,1041.3232899723284
Berlin,Tbilisi,2635.343913375869
Berlin,Tirana,1335.1687993420553
Berlin,Valencia,1793.1895278998988
Berlin,Vienna,523.5449953624505
Berlin,Vilnius,818.5495461594388
Berlin,Yerevan,2723.0184747968638
Berlin,Warsaw,517.1719438697147
Berlin,Zagreb,768.608647847509
Berlin,Nicosia,2489.255016843865
Bratislava,Brussels,967.4742789123071
Bratislava,Bucharest,804.8209862214667
Bratislava,Budapest,161.39721126301126
Bratislava,Copenhagen,892.5802853541071
Bratislava,Dublin,1733.4020457223028
Bratislava,Edinburgh,1627.6030467048236
Bratislava,Florence,664.2306385687244
Bratislava,Geneva,855.6404033232756
Bratislava,Glasgow,1684.962653170495
Bratislava,Hamburg,780.4425778747438
Bratislava,Helsinki,1428.1803435713887
Bratislava,Istanbul,1228.139892985276
Bratislava,Krakow,296.6954569002628
Bratislava,Lisbon,2348.772488018719
Bratislava,Ljubljana,304.72423970800384
Bratislava,London,1287.9895195270965
Bratislava,Luxembourg City,818.1478515569854
Bratislava,Madrid,1858.2136470234555
Bratislava,Milan,672.0380942900347
Bratislava,Minsk,969.5299887889528
Bratislava,Monaco,893.9785236616575
Bratislava,Moscow,1631.227574654461
Bratislava,Munich,409.91664848679534
Bratislava,Naples,841.8803315441032
Bratislava,Oslo,1370.986242795401
Bratislava,Paris,1088.2577183655526
Bratislava,Podgorica,656.5865416154685
Bratislava,Prague,289.225066497147
Bratislava,Riga,1085.6801686320352
Bratislava,Rome,783.0167148457093
Bratislava,Sarajevo,487.79510550246016
Bratislava,Skopje,763.0270835409501
Bratislava,Sofia,775.715847676532
Bratislava,Stockholm,1244.808693615781
Bratislava,Tallinn,1349.8650356920589
Bratislava,Tbilisi,2281.79926458015
Bratislava,Tirana,787.9843261168035
Bratislava,Valencia,1696.5023476821816
Bratislava,Vienna,54.81780657248872
Bratislava,Vilnius,920.5570921644679
Bratislava,Yerevan,2343.0069759338808
Bratislava,Warsaw,531.9869737782213
Bratislava,Zagreb,273.169186976603
Bratislava,Nicosia,1968.261288396626
Brussels,Bucharest,1770.7762485275496
Brussels,Budapest,1128.673363863914
Brussels,Copenhagen,764.9421549309087
Brussels,Dublin,775.3909491253227
Brussels,Edinburgh,755.3393928360337
Brussels,Florence,942.92576164564
Brussels,Geneva,533.1357294635184
Brussels,Glasgow,796.9281511173305
Brussels,Hamburg,487.64484472498896
Brussels,Helsinki,1647.4625276040013
Brussels,Istanbul,2181.5011943301865
Brussels,Krakow,1105.2653353640205
Brussels,Lisbon,1713.0410684264434
Brussels,Ljubljana,917.8511820557661
Brussels,London,320.63147364989
Brussels,Luxembourg City,187.0795103732632
Brussels,Madrid,1316.5964079370945
Brussels,Milan,697.8532028709764
Brussels,Minsk,1603.7389359387503
Brussels,Monaco,823.870769869724
Brussels,Moscow,2252.9938195818786
Brussels,Munich,602.8212163760951
Brussels,Naples,1348.6634756180533
Brussels,Oslo,1084.7037211560046
Brussels,Paris,263.97541640803456
Brussels,Podgorica,1468.3112964746076
Brussels,Prague,718.5420819657243
Brussels,Riga,1453.7912841589593
Brussels,Rome,1173.2425421507194
Brussels,Sarajevo,1310.5325271007662
Brussels,Skopje,1630.9886635333914
Brussels,Sofia,1698.011424131807
Brussels,Stockholm,1280.0171823173457
Brussels,Tallinn,1599.4196846149957
Brussels,Tbilisi,3225.800691528499
Brussels,Tirana,1589.2252192746676
Brussels,Valencia,1317.9159553358802
Brussels,Vienna,914.8027110685058
Brussels,Vilnius,1464.860801255109
Brussels,Yerevan,3297.9780869858073
Brussels,Warsaw,1159.7667721437763
Brussels,Zagreb,1024.1789933382859
Brussels,Nicosia,2902.1174491590277
Bucharest,Budapest,643.5109389843375
Bucharest,Copenhagen,1574.8097951910424
Bucharest,Dublin,2538.1891290274225
Bucharest,Edinburgh,2420.139026000251
Bucharest,Florence,1186.1919587774973
Bucharest,Geneva,1568.9016440955695
Bucharest,Glasgow,2479.703749864863
