City1,City2,Distance (km)
Detroit,Baltimore,643.9295373058907
Detroit,St.Louis,733.2559522401955
Detroit,Portland,3152.5036963054213
Detroit,SanAntonio,1991.7745446969404
Detroit,Sacramento,3244.9353670060555
Detroit,Austin,1872.6321482010517
Detroit,Orlando,1554.436397836891
Detroit,SanJose,3326.4230066335917
Detroit,Pittsburgh,338.5939602898463
Detroit,Indianapolis,386.0259862725185
Detroit,Manhattan,780.0056396253171
Detroit,Cincinnati,379.37583878959305
Detroit,KansasCity,1029.4215300872704
Detroit,Cleveland,154.93929925620031
Detroit,Columbus,266.73584455481773
Detroit,VirginiaBeach,871.6642347280232
Detroit,Charlotte,821.6824096734792
Detroit,Milwaukee,404.50110740762716
Detroit,Providence,965.150885776456
Detroit,Jacksonville,1346.0566046039835
Detroit,Nashville,759.7582763767386
Detroit,SaltLakeCity,2392.9911671608984
Detroit,Raleigh,823.5075873266069
Detroit,Richmond,721.6770720368554
Detroit,Memphis,1003.5496948296548
Detroit,OklahomaCity,1461.7350504085182
Detroit,Hartford,862.1404146706485
Detroit,Louisville,516.2105011159193
Detroit,Buffalo,352.63073754653414
Detroit,NewOrleans,1498.693937021798
Seattle,SanFrancisco,1097.0151335722117
Seattle,SanDiego,1701.801054675544
Seattle,Minneapolis,2238.61436552514
Seattle,Tampa,4062.8426724873552
Seattle,Denver,1647.1119547139128
Seattle,Riverside,1576.222799706672
Seattle,LasVegas,1392.989372102014
Seattle,Baltimore,3745.276314086244
Seattle,St.Louis,2764.2911945718474
Seattle,Portland,233.06199937508381
Seattle,SanAntonio,2869.219387597265
Seattle,Sacramento,1009.0700664897321
Seattle,Austin,2844.8415176729977
Seattle,Orlando,4105.528277359173
Seattle,SanJose,1148.179463964041
Seattle,Pittsburgh,3433.0445831123407
Seattle,Indianapolis,3005.7295553570375
Seattle,Manhattan,3864.0415441878804
Seattle,Cincinnati,3163.085505959055
Seattle,KansasCity,2418.7172571822343
Seattle,Cleveland,3253.258103815607
Seattle,Columbus,3231.2882667564922
Seattle,VirginiaBeach,3936.0679630343247
Seattle,Charlotte,3672.529814281093
Seattle,Milwaukee,2709.3991361893413
Seattle,Providence,3999.5552581153056
Seattle,Jacksonville,3943.8152468483295
Seattle,Nashville,3170.1435754927265
Seattle,SaltLakeCity,1123.1546450476396
Seattle,Raleigh,3796.4915494175066
Seattle,Richmond,3781.46638060193
Seattle,Memphis,3007.575295310342
Seattle,OklahomaCity,2450.819359913356
Seattle,Hartford,3908.9702668826435
